,campaign_type,duration_days,start_year,start_quarter,start_week,start_weekday,end_year,end_quarter,end_week,end_weekday,total_amount,coupon_covering_ratio%,customer_covering_ratio%,redemption_ratio%,amount/day
0,Y,37,2012,4,50,2,2013,1,3,4,143,1.2702078521939952,0.9103641456582634,0.6993006993006993,3.864864864864865
1,Y,32,2012,4,51,0,2013,1,3,4,768,1.8475750577367205,3.361344537815126,0.6510416666666667,24.0
2,Y,56,2012,4,51,5,2013,1,7,5,408,3.9260969976905313,0.8403361344537815,0.49019607843137253,7.285714285714286
3,Y,32,2013,3,27,0,2013,3,31,4,972,1.3856812933025404,5.6722689075630255,0.720164609053498,30.375
4,Y,289,2013,1,7,4,2013,4,48,6,1827,1.2702078521939952,11.624649859943977,0.38314176245210724,6.321799307958478
5,Y,25,2013,1,1,3,2013,1,5,0,65,0.11547344110854503,4.551820728291316,1.5384615384615385,2.6
6,Y,182,2013,1,5,5,2013,3,31,5,1584,0.9237875288683602,13.865546218487395,0.25252525252525254,8.703296703296703
7,X,77,2013,1,7,5,2013,2,18,5,22555,24.018475750577366,75.35014005602241,0.8822877410773665,292.9220779220779
8,Y,31,2013,4,44,6,2013,4,49,2,3168,2.0785219399538106,12.324929971988796,0.726010101010101,102.19354838709677
9,Y,62,2013,3,31,6,2013,4,40,5,1723,1.6166281755196306,8.61344537815126,0.4062681369704005,27.79032258064516
10,Y,75,2013,2,17,0,2013,3,27,5,2782,1.5011547344110854,14.985994397759104,0.2156721782890007,37.093333333333334
11,Y,32,2013,2,17,0,2013,2,21,4,2550,1.7321016166281753,11.904761904761903,0.4705882352941176,79.6875
12,X,12,2013,2,19,1,2013,2,20,6,22606,23.90300230946882,75.42016806722688,1.5305671060780324,1883.8333333333333
13,X,78,2012,3,38,4,2012,4,49,5,6056,20.900692840646652,23.249299719887954,0.8586525759577279,77.64102564102564
14,Y,63,2012,3,34,5,2012,4,43,5,324,3.117782909930716,0.8403361344537815,0.30864197530864196,5.142857142857143
15,Y,61,2012,3,37,6,2012,4,46,4,476,3.233256351039261,1.1904761904761905,0.21008403361344538,7.80327868852459
16,Y,112,2012,3,32,4,2012,4,48,4,3895,3.810623556581986,8.26330532212885,0.41078305519897307,34.776785714285715
17,X,133,2012,4,47,0,2013,2,14,0,6467,20.554272517321014,25.280112044817926,0.6030616978506262,48.62406015037594
